标题,标题链接,图片,bilivideocard_statsitem,bilivideocard_statsitem1,bilivideocard_stats_duration,信息_链接,作者,信息
建议收藏！OpenAI CTO 最新访谈：ChatGPT 或许会毁灭世界,https://www.bilibili.com/video/BV1o34y1g7YP/,https://i0.hdslb.com/bfs/archive/5ec7aea07d6d8befe404200e6594895f50b9a8fb.jpg@672w_378h_1c_!web-search-common-cover,2万,14,23:39,https://space.bilibili.com/412444099,超正经学术君, · 2023-10-19
AI对话精选 AI Talk混剪 人工智能带来的思辨和灵感,https://www.bilibili.com/video/BV1Lu4y167P5/,https://i2.hdslb.com/bfs/archive/0387811e0105440eb2a60ab29eac2843c40e5c68.jpg@672w_378h_1c_!web-search-common-cover,5953,0,03:51,https://space.bilibili.com/405083326,AI-Talk, · 2023-9-24
建议关注！5个AIGC油管博主,https://www.bilibili.com/video/BV1j14y1Z7c2/,https://i1.hdslb.com/bfs/archive/881ef0c3eeca33a5c68c3bf67d8f3b58acecb9e3.jpg@672w_378h_1c_!web-search-common-cover,4.6万,7,03:48,https://space.bilibili.com/412877339,RAMEET的AI频道, · 2023-4-28
纪念鸟山明，AI日漫角色集体出镜,https://www.bilibili.com/video/BV1cC411Y7cg/,https://i2.hdslb.com/bfs/archive/d3dc8244c1857084519669341e54ff8c271141a0.jpg@672w_378h_1c_!web-search-common-cover,1.1万,4,00:41,https://space.bilibili.com/405083326,AI-Talk, · 3-9
乔布斯在1985年对iPhone和人工智能的看法。AI还原乔布斯接受花花公子采访-1,https://www.bilibili.com/video/BV1ZC4y1V7mA/,https://i0.hdslb.com/bfs/archive/6b0e795815a9d292e1596a3da23ffc76e28f5a86.jpg@672w_378h_1c_!web-search-common-cover,6974,0,07:36,https://space.bilibili.com/405083326,AI-Talk, · 2023-10-7
对谈哈佛教授：李佳琦翻车揭露的社会问题,https://www.bilibili.com/video/BV1yH4y1D7cq/,https://i2.hdslb.com/bfs/archive/d00b0b751854ed404ce679af0d152ed409e2e949.jpg@672w_378h_1c_!web-search-common-cover,2418,2,03:47,https://space.bilibili.com/23254093,学姐雅典娜, · 2023-9-14
这个聊天AI胡说八道的样子，像极了嘴硬的我【差评君】,https://www.bilibili.com/video/BV1Ze411A7vd/,https://i1.hdslb.com/bfs/archive/82ef90182c3ccf5eecfc9212510805d30e79f158.jpg@672w_378h_1c_!web-search-common-cover,43.5万,1496,08:37,https://space.bilibili.com/19319172,差评君, · 2022-12-10
AI原生短剧 - 七夕特辑  小李子x温斯莱特 不沉没的泰坦尼克。如果Jack和Rose上岸了…AI Talk x Runway,https://www.bilibili.com/video/BV1uu4y1i71e/,https://i2.hdslb.com/bfs/archive/502c774684b943b76489b4b301f44863d2e15ca5.jpg@672w_378h_1c_!web-search-common-cover,1.3万,24,04:15,https://space.bilibili.com/405083326,AI-Talk, · 2023-8-22
由AI生成的虚拟乔布斯，如何谈论和介绍ChatGPT ｜ 人工智能的意义与印度禅修 ｜ Ai Talk 人工智能对话 ｜ 超高拟真度,https://www.bilibili.com/video/BV1fv4y1s7XK/,https://i0.hdslb.com/bfs/archive/2a920ddefe4e920a5bf73512045728c99e8cba72.jpg@672w_378h_1c_!web-search-common-cover,5.9万,23,03:40,https://space.bilibili.com/405083326,AI-Talk, · 2023-2-13
对话AI苹果CEO｜苹果与华为的竞争与未来在哪？,https://www.bilibili.com/video/BV1U94y1W7Vq/,https://i2.hdslb.com/bfs/archive/253f776c0d052f9748c66e7230caef78addb2182.jpg@672w_378h_1c_!web-search-common-cover,1375,3,03:09,https://space.bilibili.com/23254093,学姐雅典娜, · 2023-9-14
